Oberkategorie,Unterkategorie,CF,MF
Elektro divers,Weihnachtsbaum aus Kunststoff mit Motoren,,
Elektro divers,Weihnachtsbeleuchtung,"49,96","943,52"
Elektro divers,Werkzeug,"10,5","122,28"
Elektro divers,Wetterstation,"50,3","957,44"
Elektro divers,Winkelschleifer,"15,64","52,49"
Elektro divers,Wireless Microphone System,"25,15","478,72"
Elektro divers,Wärmedecke,"2,06","11,59"
Elektro divers,"Zahnbürste, elektrisch","0,73","4,75"
Elektro divers,Zahnbürstenstation,"25,15","478,72"
Elektro divers,Zerkleinerer,"3,39","16,66"
Elektro divers,Zigarettenautomat,"206,1","2540,72"
Elektro divers,Zündschloss,"0,52","6,11"
Elektro divers,Elektrorasierer,"1,47","9,5"
Elektro divers,Fön,"5,14","33,23"
Elektro divers,Lockenstab,"3,67","23,74"
Elektro divers,Nähmaschine,"24,73","304,89"
Elektro divers,Digitalkamera,"118,9","462,61"
Elektro divers,Telefon,"40,24","765,95"
Elektro divers,Videokamera,"237,8","925,22"
Elektro divers,Bügelstation,"14,43","177,85"
Fahrrad,Antrieb,"85,53","247,83"
Fahrrad,Beleuchtung,"49,96","943,52"
Fahrrad,Bremsen,"25,66","74,35"
Fahrrad,Damenfahrrad,"128,29","371,75"
Fahrrad,E-Bike-Akku,"6,87","61,9"
Fahrrad,E-Fahrrad,"138,1","627,28"
Fahrrad,E-Roller,"107,26","622,91"
Fahrrad,Fahrradanhänger,"42,76","123,92"
Fahrrad,Fahrradcomputer,"47,56","185,04"
Fahrrad,Fahrraddynamo,"1,33","17,06"
Fahrrad,Fahrradklingel,"0,86","2,48"
Fahrrad,Fahrradkorb,"8,55","24,78"
Fahrrad,Fahrradlicht,"9,99","188,7"
Fahrrad,Fahrradsattel,"4,28","12,39"
Fahrrad,Fahrradtäschchen,"0,57","0,83"
Fahrrad,Gangschaltung,"12,83","37,17"
Fahrrad,Gepäckträger,"8,55","24,78"
Fahrrad,Gokart,,
Fahrrad,Herrenfahrrad,"128,29","371,75"
Fahrrad,Inlineskater,"4,76","6,91"
Fahrrad,Kinderfahrrad,"68,42","198,26"
Fahrrad,Kindersitz,"5,71","8,29"
Fahrrad,Ladegerät E-Bike,"8,84","57,45"
Fahrrad,Lastenrad,"213,82","619,58"
Fahrrad,Luftpumpe,"0,95","1,38"
Fahrrad,MTB,"111,19","322,18"
Fahrrad,Rahmen,"17,11","49,57"
Fahrrad,Reifen,"8,55","24,78"
Fahrrad,Roller (mechanisch),"42,76","123,92"
Fahrrad,Rollstuhl,"128,29","371,75"
Fahrrad,Schlauch,"4,28","12,39"
Fahrrad,Schloss,"2,57","7,43"
Fahrrad,Scooter,"51,32","148,7"
Fahrrad,Sonstiges,,
Haushaltsgeräte,Akkusauger,"14,16","68,44"
Haushaltsgeräte,Allesschneider,"15,74","183,43"
Haushaltsgeräte,Angel,"1,9","2,76"
Haushaltsgeräte,Aroma Diffuser,"25,15","478,72"
Haushaltsgeräte,Astschere,"7,87","91,71"
Haushaltsgeräte,Außentemperaturfühler,"10,06","191,49"
Haushaltsgeräte,Backautomat,"27,42","246,39"
Haushaltsgeräte,"Backform, Springform","0,12","0,89"
Haushaltsgeräte,Backofen,"164,49","1478,32"
Haushaltsgeräte,Barometer,"25,15","478,72"
Haushaltsgeräte,Besteck,"2,62","30,57"
Haushaltsgeräte,Bleistiftspitzer,"0,52","6,11"
Haushaltsgeräte,Blumenstecker,"0,38","0,55"
Haushaltsgeräte,Bodenreiniger,"35,41","171,11"
Haushaltsgeräte,Bodenwischer,"7,08","34,22"
Haushaltsgeräte,Boiler,"35,07","301,42"
Haushaltsgeräte,Box,"3,8","5,53"
Haushaltsgeräte,Bratpfanne,"5,25","61,14"
Haushaltsgeräte,Briefwaage,"2,62","30,57"
Haushaltsgeräte,Brotbackautomat,"18,2","85,73"
Haushaltsgeräte,Brotzeitbrett,"1,01","3,71"
Haushaltsgeräte,Bügelbrett,"15,74","183,43"
Haushaltsgeräte,Crepesgerät,"6,07","28,58"
Haushaltsgeräte,Dampfbügeleisen,"7,34","47,48"
Haushaltsgeräte,Dampfgarer,"9,1","42,86"
Haushaltsgeräte,Dampfkochtopf,"13,12","152,86"
Haushaltsgeräte,Dampfreiniger,"28,33","136,89"
Haushaltsgeräte,"Dehydriergerät, Dörrautomat","23,5","156,79"
Haushaltsgeräte,Dekoration,,
Haushaltsgeräte,Digitalthermometer,"2,52","47,87"
Haushaltsgeräte,Durchlauferhitzer,"12,36","69,57"
Haushaltsgeräte,Durchschlag,"0,95","1,38"
Haushaltsgeräte,Duschschlauch,"0,38","0,55"
Haushaltsgeräte,Dörrgerät,"23,5","156,79"
Haushaltsgeräte,Eierschalensollbruchverursacher,"0,52","6,11"
